id;type;image;description
1;payment program Frozen;envisioneer frictionless;orchestration
2;global Home TCP;primary Coordinateur;Plastic
3;metrics Account;Account bus;CSS orange
4;web;B2C des invoice;mobile
5;Swedish niches a;Steel;deposit
6;neural a redundant;invoice;b Ingenieur
7;a Cotton;Gourde Licensed;purple
8;Cheese deposit needs-based;a override withdrawal;Nouvelle-Zélande
9;Consultant architect;input Developpeur;parsing Ingenieur compelling
10;end-to-end Borders redundant;Persevering;black lime
