id;type;valeur;date
1;Jewelery overriding;Salad Borders Pizza;Rubber hacking Industrial
2;Dollar Rustic;Franc;Administrateur JSON reinvent
3;Practical;maximized Midi-Pyrénées Account;Steel architecture archive
4;online;front-end 1080p feed;Account Sausages
5;c;Money Concrete;Pizza Suède Faubourg-Saint-Denis
6;Licensed calculate;Clothing deposit PCI;Sausages compress a
7;relationships;Home c;extend orange
8;Awesome redefine;Kids;hardware Congolese Executif
9;viral invoice Lorraine;navigating Towels deposit;HTTP salmon
10;SCSI Plastic;deliverables whiteboard;Executif
