id;lebelle;photo;racin
1;b tolerance;circuit innovative;backing Licensed magenta
2;Car orchestrate;redundant reboot;Computer
3;wireless SCSI a;Buckinghamshire Gloves;transmitting
4;high-level optimizing;Future-proofed;Health Synchronised
5;Berkshire Account;Monsieur-le-Prince;Concrete
6;solid Bedfordshire;Small Account deploy;Market Automated Investment
7;green multi-byte Borders;Corse Account invoice;a deliverables Gloves
8;Bourgogne Extended deposit;Pants Fidji drive;deposit
9;Rubber back-end;b;JSON Fresh Mozambique
10;TCP;alarm Baby;parsing
